prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
12934.3,0,1001,0.107814,6248.81,0.0241529,0,0.00205022,0,160.744,0,0,0.0681324,0,28,12747.5,1.29972,1001,870.269,0,0.656214,0,0,0,0.05,0.00897244,18151.2,0,4969.84,0,0.0560382,291.702,9585.21,WAIT_DIE,0,0,0,0,3.47421,0,0.00352723,0.0332082,0,0,0,0,0,false,0,0,0,0,0,0,32.2061,232.321,4.79721,0,0,0.0957684,4.64661,0.127694,0,0,0.010858,2.03872,0,0,13293.8,0,0,209,0,0,21.9112,0.454226,0,1291,0,0,0,0,374,0,0,12812.5,11042.3,0,418,0,0.316405,false,0,0,0,0,13286.6,TWO_PC,0.0496026,0,12265.5,0,0,0,0,0,0,0,0,0.5,0,0,13162.3,0,0.00404416,0,374,1001,0,0,0,false,0.443555,0,0.0193389
12754.9,0,963,0.096447,6664.59,0.0247695,0.6,0.00206194,0,176.912,0,83,0.0638446,0,28,10999,1.31797,963,824.573,0,0.54528,83,0,0,0.05,0.0102293,18619.6,100.621,5290.9,0,0.0582375,191.39,10870.4,WAIT_DIE,0.0496608,0,0,0,2.65766,0,0.00357058,0.00126344,0,0,0,0,0,false,0,0,0,0,0,0,32.7006,231.359,4.57458,0,0,0.0932773,4.32885,0.155242,0,0,0.0106135,1.93156,0,0,13913.9,0,0,200,0,0,22.2517,0.373056,0,1334,0,0,0,0,449,0,0,11340.4,11387.8,0,397,0,0.318013,false,0,0,0,0,11336.5,TWO_PC,0.0484869,83,12122,0,0,0,0,0,0,0,0,0.5,0,0,15086.2,83,0.00407233,0,366,963,59.1709,0,0,false,0.528565,46.5441,0.0276433
7913.53,0,842,0.427106,3606.59,0.0336938,0.8,0.0026175,0,175.848,0,5659,0.0688398,0,28,8256.31,2.34605,842,567.971,0,0.735998,5622,0,0,0.05,0.0179887,10422.6,16369.6,3041.39,0,0.0493808,1253.39,5371.23,WAIT_DIE,4.15223,0,0,0,3.68604,0,0.00549105,0.0015643,0,0,0,0,0,false,0,0,0,0,0,0,41.5091,356.349,139.631,43,0,0.131671,409.27,1.20157,0,2504,0.0102878,3.61428,0,0,8296.72,0,0,176,0,0,18.13,0.345631,0,1956,0,0,0,26,5943,0,0,6500.75,5631.97,0,379,0,0.58326,false,0,0,0,0,426.115,TWO_PC,0.0640644,5659,7036.83,0,0,5.20642,26,0,0,0,0,0.5,0,0,8310.03,3132,0.00626877,0,287,842,19132.3,0,0,false,0.610895,34513.4,0.00440288
9717.46,0,329,1.32859,3690.38,0.10379,0.9,0.00240135,0,299.238,0,6395,0.263052,0,28,12505.4,3.43552,329,186.688,0,0.725566,6253,0,0,0.05,0.03044,10701.1,33015.8,3283.66,0,0.0476462,967.5,4378.18,WAIT_DIE,4.50438,0,0,0,3.06763,0,0.00499322,0.00167651,0,0,0,0,0,false,0,0,0,0,0,0,49.3444,360.498,351.464,525,0,0.480387,247.997,1.6104,0,2203,0.00601368,5.54007,0,0,8728.46,0,0,63,0,0,17.5138,0.596442,0,2404,0,0,0,43,6449,0,0,6048.88,6787.63,0,149,0,0.40241,false,0,0,0,0,163.86,TWO_PC,0.236699,6395,8854.94,0,0,169.47,43,0,0,0,0,0.5,0,0,9079.39,4110,0.00577635,0,117,329,87098.9,0,0,false,1.18243,202873,0.0189561
16154.3,0,88,2.47172,12205.5,0.509349,0.99,0.00133056,0,556.294,0,14747,1.60979,0,28,25174.4,6.02227,88,34.5553,0,1.32094,14709,0,0,0.05,0.164271,25713,226090,7348.89,0,0.0202272,109.746,18392.2,WAIT_DIE,6.86438,0,0,0,3.82057,0,0.00300198,0.000903336,0,0,0,0,0,false,0,0,0,0,0,0,71.306,872.79,2.08994,278,0,2.02295,63.8336,2.47172,0,4958,0.00279462,8.67429,0,0,17899.2,0,0,16,0,0,15.9307,1.12237,0,1470,0,0,0,59,14794,0,0,7417.51,21551.5,0,36,0,0.672275,false,0,0,0,0,43.6798,TWO_PC,1.00779,14747,14775.1,0,0,2021.03,59,0,0,0,0,0.5,0,0,11017.2,9791,0.00344301,0,36,88,473641,0,0,false,1.46501,931698,0.0031787
11101.8,0,47,2.69136,7971.12,1.20549,1.1,0.00314409,0,616.877,0,17708,2.41369,0,28,16779.2,6.64082,47,17.4536,0,1.40725,17682,0,0,0.05,0.450929,18849.6,755390,7605.02,0,0.0877736,1000.09,3667.5,WAIT_DIE,7.09933,0,0,0,3.85396,0,0.0045155,0.00148487,0,0,0,0,0,false,0,0,0,0,0,0,75.3999,1474.68,0.52125,1186,0,2.656,4.10459,2.69136,0,4631,0.00231996,10.3008,0,0,19853.3,0,0,12,0,0,15.1846,1.12177,0,1509,0,0,0,88,17998,0,0,126.985,17424,0,17,0,0.909124,false,0,0,0,0,19.8462,TWO_PC,2.42119,17708,10466.4,0,0,0,88,0,0,0,0,0.5,0,0,12837.4,13338,0.00517044,0,18,47,1.17882e+06,0,0,false,1.33074,2.3646e+06,0.00441113
10495.3,0,1305,0.103526,4255.53,0.0186307,0,0.00266414,0,449.12,0,32,0.039896,0,28,10526.1,1.27316,1305,1139.84,0,0.465069,32,0,0,0.05,0.00733577,13840.5,88.9883,3842.74,0,0.036281,344.255,6199.34,WAIT_DIE,0.0293539,0,0,0,2.52872,0,0.00556917,0.00192197,0,0,0,0,0,false,0,0,0,0,0,0,32.0572,413.539,4.88415,0,0,0.0825619,4.65516,0.11966,0,0,0.0141673,1.78849,0,0,10310.5,0,0,275,0,0,21.7108,0.61848,0,1689,0,0,0,0,518,0,0,10221.7,7533.69,0,544,0,0.899065,false,0,0,0,0,9666.4,TWO_PC,0.0376648,32,9435.42,0,0,0,0,0,0,0,0,0.5,0,0,10606.2,32,0.00651005,0,486,1305,37.0955,0,0,false,0.658024,0,0.00470843
13656.1,0,964,0.10773,6662.93,0.0247961,0.6,0.00190444,0,320.842,0,15,0.0676038,0,28,13066.2,1.20682,964,840.521,0,0.490356,1,0,0,0.05,0.00990256,19012.2,95.1588,4397.51,0,0.0581545,447.961,12152.2,WAIT_DIE,0.00825085,0,0,0,2.98973,0,0.0394806,0.00125202,0,0,0,0,0,false,0,0,0,0,0,0,32.1134,302.917,4.85105,14,0,0.0917583,8.92562,0.133346,0,0,0.010377,1.66632,0,0,12640.1,0,0,209,0,0,22.0297,0.631606,0,1226,0,0,0,0,336,0,0,13351.4,11030.2,0,420,0,0.448856,false,0,0,0,0,12600.8,TWO_PC,0.0527602,15,12272.4,0,0,0,0,0,0,0,0,0.5,0,0,14278.2,1,0.0400577,0,335,964,79.5308,0,0,false,0.709178,109.555,0.00355306
11890.1,0,640,0.378284,6449.45,0.0407783,0.8,0.00197649,0,306.938,0,4797,0.0957574,0,28,12702.8,2.37046,640,453.862,0,0.716652,4742,0,0,0.05,0.0182865,17096.1,13173.9,4585.39,0,0.0585822,863.124,11083.1,WAIT_DIE,3.50315,0,0,0,2.75625,0,0.00379312,0.00123423,0,0,0,0,0,false,0,0,0,0,0,0,39.4833,317.65,3.4933,55,0,0.16361,279.704,0.53464,0,1732,0.00792745,3.35436,0,0,12309.8,0,0,128,0,0,18.3024,0.452147,0,1507,0,0,0,17,5006,0,0,9456.51,10635,0,280,0,0.503834,false,0,0,0,0,582.407,TWO_PC,0.0803328,4797,10770.7,0,0,42.86,17,0,0,0,0,0.5,0,0,12329.3,3022,0.00431567,0,232,640,17853.3,0,0,false,0.80278,33351,0.00347516
13390.9,0,263,2.28857,7872.07,0.198708,0.9,0.00274143,0,317.172,0,10741,0.460439,0,28,15135.1,6.41809,263,98.8766,0,1.33751,10694,0,0,0.05,0.0650094,20485.7,78010.5,5415.13,0,0.0823056,2336.05,7104.1,WAIT_DIE,4.05752,0,0,0,4.28461,0,0.00448393,0.00145819,0,0,0,0,0,false,0,0,0,0,0,0,74.4766,466.517,1.95945,250,0,1.47321,30.0537,2.54533,0,6386,0.0050874,10.1781,0,0,13279.1,0,0,49,0,0,18.0105,1.03977,0,2017,0,0,0,53,10961,0,0,7371.21,13759.8,0,107,0,0.597637,false,0,0,0,0,129.82,TWO_PC,0.393633,10741,12864.9,0,0,189.533,53,0,0,0,0,0.5,0,0,14403.4,4455,0.00521384,0,107,263,172030,0,0,false,1.33835,344829,0.00459817
